producto_id,timestamp,nombre,url,precio,precio_tachado,rating,opiniones
927,2025-02-28 12:48:02,Portátil Microsoft Surface Pro 11 OLED Negro Qualcomm Snapdragon X Elite X1E-80-100/16GB/512GB SSD/1,https://www.pccomponentes.com/portatil-microsoft-surface-pro-11-oled-negro-qualcomm-snapdragon-x-elite-x1e-80-100-16gb-512gb-ssd-13-tactil,"1679,00€",1.799€,4/5,0
928,2025-02-28 12:48:18,Portátil Microsoft Surface Pro 11 OLED Platino Qualcomm Snapdragon X Elite X1E-80-100/16GB/512GB SSD,https://www.pccomponentes.com/portatil-microsoft-surface-pro-11-oled-platino-qualcomm-snapdragon-x-elite-x1e-80-100-16gb-512gb-ssd-13-tactil,"1469,99€",1.799€,4/5,0
929,2025-02-28 12:48:34,"PcCom Legend 4060 Intel Core i9-14900HX/32GB/2TB SSD/RTX 4060/16"" + Windows 11 Home",https://www.pccomponentes.com/pccom-legend-4060-intel-core-i9-14900hx-32gb-2tb-ssd-rtx-4060-16-windows-11-home,"1849,99€","2.109,99€",5/5,0
930,2025-02-28 12:48:49,"Portátil Samsung Galaxy Book5 Pro Dynamic AMOLED 2X Intel Core Ultra 7 258V/32GB/1TB SSD/14"" Táctil",https://www.pccomponentes.com/portatil-samsung-galaxy-book5-pro-dynamic-amoled-2x-intel-core-ultra-7-258v-32gb-1tb-ssd-14-tactil,"1938,39€",0,"4,7/5",7.386 valoraciones
931,2025-02-28 12:49:45,"Portátil ASUS ExpertBook B3 B3604CMA-Q90698X Intel Core Ultra 5 125U/16GB/512GB SSD/16""",https://www.pccomponentes.com/portatil-asus-expertbook-b3-b3604cma-q90698x-intel-core-ultra-5-125u-16gb-512gb-ssd-16,"819,00€",0,5/5,0
932,2025-02-28 12:50:00,"Portátil ASUS ProArt P16 OLED H7606WI-ME034W AMD Ryzen AI 9 HX 370/32GB/1TB SSD/RTX 4070/16"" Táctil",https://www.pccomponentes.com/portatil-asus-proart-p16-oled-h7606wi-me034w-amd-ryzen-ai-9-hx-370-32gb-1tb-ssd-rtx-4070-16-tactil,"2599,00€",0,"3,9/5",0
933,2025-02-28 12:50:15,"ASUS Zenbook DUO UX8406MA-PZ255W Intel Evo Edition - Intel Core Ultra 9 185H/32GB/1TB SSD/14"" Táctil",https://www.pccomponentes.com/asus-zenbook-duo-ux8406ma-pz255w-intel-evo-edition-intel-core-ultra-9-185h-32gb-1tb-ssd-14-tactil,"1985,87€",0,"3,8/5",21 valoraciones
934,2025-02-28 12:50:30,"Portátil ASUS Zenbook S 16 OLED UM5606WA-RK320W AMD Ryzen AI 9 365/32GB/1TB SSD/16""",https://www.pccomponentes.com/portatil-asus-zenbook-s-16-oled-um5606wa-rk320w-amd-ryzen-ai-9-365-32gb-1tb-ssd-16,"1748,99€",0,0,0
935,2025-02-28 12:50:44,"Portátil Blackview Acebook 8 Intel Core N97/16GB/512GB/15.6"" Teclado Inglés",https://www.pccomponentes.com/portatil-blackview-acebook-8-intel-core-n97-16gb-512gb-156-teclado-ingles,"274,99€","343,84€","4,5/5",142 valoraciones
936,2025-02-28 12:50:58,"Portátil Deep Gaming Nubian 15 Intel Core i7-13620H/64GB/2TB SSD/RTX 3050/15.6""",https://www.pccomponentes.com/portatil-deep-gaming-nubian-15-intel-core-i7-13620h-64gb-2tb-ssd-rtx-3050-156,"1399,00€",0,"4,5/5",255 valoraciones
937,2025-02-28 12:51:13,"Portátil Dell Latitude 3550 Intel Core Ultra 5 125U/16GB/512GB SSD/15.6""",https://www.pccomponentes.com/portatil-dell-latitude-3550-intel-core-ultra-5-125u-16gb-512gb-ssd-156,"808,99€",0,5/5,0
938,2025-02-28 12:51:29,"Portátil Gigabyte AERO 16 OLED BSF-H3ES954SH Intel Core i7-13620H/16GB/1TB SSD/RTX 4070/16""",https://www.pccomponentes.com/portatil-gigabyte-aero-16-oled-bsf-h3es954sh-intel-core-i7-13620h-16gb-1tb-ssd-rtx-4070-16,"1519,72€",0,"4,5/5",7.386 valoraciones
939,2025-02-28 12:51:45,"HP 15-FD0037NS Intel Core i3-N305/8GB/512GB SSD/15.6""",https://www.pccomponentes.com/hp-15-fd0037ns-intel-core-i3-n305-8gb-512gb-ssd-156,"422,49€",0,"4,8/5",21 valoraciones
